"Группа операционных систем","Операционная система (детально)","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","200","179","0.96","1.07","00:00:07"
"Windows","Windows 10 (и последующие)","110","104","0.9727272727272728","1.0454545454545454","00:00:00"
"Windows","Windows 11","53","45","0.9622641509433962","1.0377358490566038","00:00:21"
"Windows","Windows 7 или 2008 Server","18","16","0.9444444444444444","1.0555555555555556","00:00:04"
"GNU/Linux","Linux (другие или не определено)","8","6","0.875","1.125","00:00:27"
"Mac OS","macOS Catalina (и последующие)","6","3","1.0","1.0","00:00:00"
"Windows","Windows 8.1","2","2","1.0","1.0","00:00:00"
"Windows","Windows Mobile (другие или не определено)","1","1","0.0","6.0","00:01:37"
"Mac OS","macOS Monterey","1","1","1.0","1.0","00:00:00"
"Mac OS","macOS Big Sur","1","1","1.0","1.0","00:00:00"
